Age,Gender,Sleep_Duration,Sleep_Quality,Physical_Activity,Stress_Level,Caffeine_Intake,Screen_Time
50,Male,6.3,Poor,7,4,2,4
22,Male,6.8,Good,20,8,5,2
59,Female,5.8,Good,97,9,2,11
56,Female,8.5,Good,67,4,0,6
58,Male,7.0,Good,24,5,0,9
45,Male,5.4,Good,78,8,5,1
24,Male,9.4,Good,67,6,4,11
26,Male,6.3,Poor,44,7,1,10
25,Male,7.3,Poor,59,3,3,7
29,Female,9.4,Good,11,7,3,10
51,Female,7.7,Good,31,8,5,9
50,Female,4.7,Good,95,6,0,10
40,Female,9.6,Fair,91,9,3,9
41,Male,7.8,Poor,12,6,0,10
54,Male,6.0,Poor,30,9,4,11
52,Male,4.8,Good,77,4,1,3
57,Female,8.8,Fair,19,8,4,11
39,Female,7.7,Fair,17,4,5,5
44,Male,7.2,Fair,92,2,2,8
52,Male,9.4,Poor,59,9,2,8
18,Female,8.7,Good,62,5,2,4
52,Female,4.9,Fair,5,4,4,11
54,Male,5.9,Good,31,2,3,11
31,Male,5.5,Fair,92,1,1,1
20,Female,8.5,Fair,42,7,2,1
18,Male,4.2,Poor,1,6,5,4
22,Male,7.4,Poor,59,2,5,6
43,Male,8.6,Fair,22,8,2,8
31,Female,9.3,Fair,82,4,2,6
56,Female,6.1,Good,30,8,1,9
44,Female,8.9,Fair,114,7,2,9
26,Female,4.7,Good,4,5,1,2
32,Female,9.1,Good,82,8,5,10
32,Female,4.8,Good,33,9,2,1
43,Female,6.4,Poor,9,5,4,2
59,Male,8.8,Fair,88,5,4,5
30,Male,4.9,Poor,1,2,5,4
49,Male,5.4,Fair,10,5,1,4
56,Male,8.3,Good,49,3,4,9
49,Male,8.3,Poor,30,7,1,11
21,Male,7.8,Fair,55,5,4,8
47,Male,8.2,Good,78,8,4,6
54,Female,7.3,Good,72,1,1,1
40,Female,5.5,Good,86,3,3,2
56,Male,6.1,Poor,82,3,4,6
32,Male,5.1,Fair,8,9,2,11
46,Female,9.5,Good,98,5,5,2
53,Male,7.5,Poor,20,9,3,10
30,Male,6.4,Fair,72,9,1,5
49,Female,6.8,Poor,27,1,3,5
24,Male,9.7,Poor,61,2,0,6
39,Female,4.9,Fair,109,5,0,6
45,Male,7.5,Poor,114,4,4,6
19,Female,7.0,Good,6,9,4,2
59,Female,7.7,Good,79,7,2,10
23,Female,4.1,Good,15,6,5,3
45,Male,9.2,Fair,96,7,3,6
45,Female,9.6,Poor,3,1,0,8
37,Male,7.4,Poor,3,1,4,11
47,Male,8.2,Good,102,8,5,1
28,Male,9.5,Good,39,2,3,1
45,Male,8.2,Poor,16,9,4,11
42,Female,4.9,Good,100,7,4,2
56,Female,7.5,Poor,102,6,0,11
50,Male,7.6,Good,51,1,0,6
18,Male,6.5,Good,92,1,4,9
44,Female,8.4,Good,51,2,1,4
30,Male,9.6,Good,35,6,4,3
58,Female,9.6,Good,37,6,5,8
20,Male,6.7,Fair,102,2,4,11
56,Male,4.7,Good,49,1,2,10
23,Female,9.9,Poor,62,5,2,9
25,Male,9.0,Good,100,5,2,11
44,Female,4.7,Good,115,2,1,5
26,Male,9.5,Good,62,6,1,9
54,Male,9.2,Fair,61,9,4,2
50,Male,7.1,Good,98,2,2,3
59,Female,7.5,Good,6,2,1,7
41,Male,6.4,Good,26,3,0,7
32,Male,4.3,Poor,91,7,4,6
49,Male,6.0,Poor,85,6,5,6
49,Male,8.8,Fair,13,8,3,2
41,Female,4.0,Poor,70,8,4,10
58,Female,6.0,Good,100,6,3,6
29,Male,6.4,Fair,85,3,2,4
56,Female,7.2,Good,4,3,3,3
19,Male,9.5,Fair,54,1,2,11
20,Male,6.1,Poor,1,7,0,2
54,Male,6.1,Good,61,5,3,1
34,Female,8.4,Good,90,4,4,11
19,Female,6.7,Fair,20,4,2,11
19,Female,5.3,Good,117,4,4,5
45,Female,6.7,Good,101,6,1,2
40,Female,4.8,Fair,78,8,2,2
54,Female,5.1,Good,20,8,3,7
49,Female,7.0,Good,9,5,2,8
50,Female,6.5,Good,86,6,4,10
18,Female,9.5,Poor,57,4,0,8
36,Male,6.2,Good,119,9,2,4
19,Female,7.5,Poor,38,8,3,1
43,Female,7.8,Poor,4,1,1,11
49,Female,4.1,Fair,64,2,5,7
23,Female,8.0,Fair,12,9,0,1
49,Female,5.1,Good,84,8,1,11
21,Female,9.8,Good,89,3,2,4
28,Female,4.9,Good,113,8,4,8
34,Female,6.5,Fair,108,1,4,2
55,Female,4.5,Fair,84,4,3,6
41,Female,10.0,Fair,52,3,4,6
22,Female,7.0,Good,81,6,0,9
51,Male,7.6,Poor,100,7,4,5
23,Male,4.4,Good,44,4,3,10
39,Female,8.5,Good,31,7,5,4
28,Female,5.3,Fair,35,9,2,5
33,Male,9.4,Good,80,2,2,10
50,Female,5.2,Fair,98,3,4,11
26,Male,5.1,Good,112,5,1,5
23,Male,4.2,Good,59,3,2,8
33,Male,6.8,Fair,10,8,5,10
46,Male,7.4,Fair,62,8,4,8
20,Male,4.4,Good,20,8,3,2
37,Female,8.7,Good,51,9,5,7
53,Male,6.7,Fair,54,4,4,8
36,Female,7.1,Good,116,5,5,11
43,Female,6.6,Good,25,5,2,6
20,Male,6.4,Good,67,8,3,5
36,Male,7.4,Poor,33,7,4,11
37,Female,4.9,Good,51,9,0,9
49,Male,5.1,Good,111,8,3,3
24,Male,9.2,Poor,81,2,0,10
58,Female,9.7,Fair,103,4,5,4
50,Female,6.2,Good,98,6,1,9
57,Male,5.6,Poor,104,2,3,6
56,Female,7.9,Good,92,7,5,8
35,Male,6.5,Fair,51,3,0,7
57,Male,4.2,Fair,28,3,2,11
18,Male,4.9,Good,37,2,2,2
28,Female,8.3,Fair,41,8,1,3
45,Female,8.0,Good,20,6,3,1
42,Female,4.2,Fair,41,1,3,9
40,Female,5.3,Good,12,1,3,7
48,Female,5.4,Poor,112,7,5,1
47,Male,8.0,Fair,104,8,1,3
59,Male,4.1,Good,63,5,3,4
52,Male,4.6,Fair,16,5,5,4
24,Male,8.8,Good,119,4,2,5
33,Female,5.1,Fair,8,6,0,3
43,Male,7.9,Good,40,6,5,3
19,Female,5.4,Poor,0,3,2,1
18,Male,4.6,Good,1,9,2,7
29,Female,5.5,Fair,59,7,0,11
22,Female,8.3,Fair,47,1,2,10
54,Male,9.1,Poor,28,7,1,1
49,Male,9.0,Poor,96,5,0,2
26,Male,6.4,Good,9,5,2,4
58,Male,8.0,Fair,113,2,4,4
52,Female,5.2,Good,57,4,5,5
36,Male,5.8,Fair,59,6,2,11
33,Male,9.4,Fair,103,7,1,2
20,Female,4.1,Good,20,5,3,4
37,Male,4.5,Good,27,9,2,1
41,Male,5.2,Poor,74,3,3,2
50,Male,4.2,Poor,118,1,4,1
41,Male,5.1,Poor,33,4,2,10
28,Male,7.5,Good,7,9,0,10
25,Female,6.5,Good,58,4,3,4
53,Male,9.4,Fair,85,2,4,4
55,Male,8.9,Good,71,5,0,7
57,Male,6.1,Good,48,3,0,10
37,Male,5.6,Good,78,9,0,11
52,Male,6.3,Good,16,4,0,11
42,Female,7.5,Fair,59,6,2,9
52,Male,5.6,Poor,86,2,5,9
42,Female,7.7,Fair,87,6,2,5
46,Female,6.5,Poor,44,3,2,10
35,Male,7.3,Good,82,9,4,1
35,Male,6.6,Good,68,2,4,1
19,Male,5.8,Poor,31,9,5,6
52,Male,9.7,Poor,43,5,4,2
33,Female,8.6,Fair,64,8,1,8
58,Male,4.8,Good,86,2,5,9
53,Male,9.2,Fair,100,6,4,4
50,Male,6.9,Good,7,3,5,5
21,Male,9.4,Poor,76,5,2,11
50,Male,8.8,Poor,71,8,2,8
31,Male,6.6,Good,86,1,5,3
38,Female,4.1,Good,42,5,1,5
37,Female,5.6,Poor,0,3,1,3
25,Male,7.2,Good,108,4,5,10
24,Male,7.8,Good,50,2,4,3
20,Male,5.5,Good,23,9,3,3
34,Female,4.8,Fair,98,3,1,7
50,Male,9.0,Good,23,2,0,7
29,Female,9.9,Fair,16,9,2,7
39,Male,7.2,Good,4,7,5,10
39,Male,5.0,Poor,19,6,0,8
47,Male,5.6,Poor,20,1,5,5
55,Male,4.1,Fair,103,5,2,5
55,Female,9.5,Good,57,3,2,4
25,Female,4.7,Fair,30,1,1,7
44,Male,7.5,Good,109,4,1,10
44,Male,5.6,Good,99,2,0,4
51,Female,7.3,Poor,10,2,5,2
38,Female,7.9,Good,51,3,2,4
47,Female,9.0,Fair,14,8,0,8
50,Female,5.2,Good,82,8,3,9
45,Male,4.1,Poor,6,7,0,3
50,Female,4.8,Good,114,6,4,7
22,Male,9.4,Good,27,9,0,9
36,Female,9.2,Good,50,4,4,11
21,Female,7.6,Good,106,1,4,4
52,Female,7.6,Fair,57,8,4,10
34,Female,8.0,Good,4,7,3,3
45,Female,5.1,Good,4,7,0,5
47,Male,9.5,Good,93,3,0,1
46,Male,6.5,Poor,117,4,3,3
23,Female,6.3,Good,95,9,2,8
52,Female,7.1,Good,7,6,1,11
58,Male,4.3,Good,63,5,0,8
54,Female,5.0,Fair,9,3,1,4
41,Female,8.4,Good,37,9,5,2
46,Male,4.5,Fair,110,5,5,8
48,Female,7.6,Good,95,5,3,8
52,Female,5.5,Poor,111,4,5,10
50,Male,6.3,Good,91,4,5,4
38,Male,5.7,Good,80,1,2,3
49,Male,6.1,Poor,94,7,2,2
40,Female,8.3,Good,7,9,2,9
50,Male,5.8,Fair,103,3,5,1
20,Male,7.4,Good,24,2,3,7
35,Male,6.9,Good,72,3,4,5
42,Male,8.0,Good,65,1,4,8
59,Male,9.6,Good,78,6,1,4
48,Male,8.4,Good,49,7,4,7
20,Female,5.3,Fair,66,2,4,5
57,Female,4.2,Fair,48,8,2,5
41,Male,5.6,Good,35,6,2,9
49,Male,7.6,Good,67,4,5,9
39,Male,4.3,Good,77,5,1,9
40,Female,7.0,Good,104,8,0,6
19,Female,7.6,Fair,40,3,1,6
44,Female,6.0,Good,88,3,1,5
59,Female,8.6,Poor,118,4,3,9
19,Female,4.6,Good,61,1,5,10
43,Female,4.5,Poor,113,9,3,8
34,Female,8.4,Fair,9,8,1,7
57,Female,7.0,Fair,20,8,1,7
50,Female,8.1,Fair,35,6,1,6
26,Male,6.6,Good,11,7,4,5
56,Male,5.5,Fair,90,6,3,4
46,Male,8.9,Fair,103,9,1,3
59,Male,8.8,Fair,1,3,2,3
43,Female,8.2,Fair,117,3,5,6
52,Female,5.6,Fair,12,3,5,4
42,Male,7.5,Poor,52,3,2,6
41,Female,6.2,Good,31,9,5,3
30,Male,4.5,Good,94,4,4,4
24,Female,9.5,Good,15,7,4,9
53,Male,4.8,Fair,31,9,0,5
37,Female,9.7,Fair,31,7,0,7
18,Female,6.7,Good,97,9,0,10
25,Male,5.1,Good,10,3,5,2
33,Female,7.3,Fair,9,4,4,5
31,Male,9.2,Poor,14,8,4,9
29,Male,8.4,Fair,16,6,4,11
40,Male,8.8,Fair,39,5,2,3
32,Male,8.0,Fair,17,4,4,9
45,Female,8.2,Good,54,8,2,11
51,Female,9.1,Good,72,1,0,6
19,Female,5.5,Good,24,9,0,4
49,Male,6.9,Good,103,1,5,7
40,Female,5.3,Good,58,8,0,8
39,Male,9.9,Good,77,4,5,6
42,Female,9.7,Good,88,9,1,5
39,Female,4.2,Poor,113,5,1,6
39,Female,8.2,Poor,21,3,3,5
59,Male,9.6,Poor,115,9,5,8
23,Female,5.1,Good,29,9,3,1
32,Female,7.4,Good,83,4,3,11
54,Male,9.5,Fair,84,4,1,7
50,Female,4.2,Good,43,8,5,10
25,Male,8.2,Poor,31,2,1,10
22,Female,5.8,Good,50,9,3,11
56,Male,9.5,Fair,45,6,5,2
21,Male,9.8,Poor,112,9,3,9
23,Female,9.7,Fair,119,8,4,1
49,Male,6.8,Fair,20,7,5,11
47,Male,9.2,Fair,98,1,5,10
52,Male,9.1,Fair,31,3,3,6
57,Male,5.9,Good,93,2,4,9
33,Male,9.0,Good,118,5,2,1
30,Male,4.2,Fair,38,5,1,4
59,Female,7.6,Good,112,5,3,4
47,Male,5.4,Good,11,4,5,9
36,Male,4.7,Fair,104,5,1,11
34,Female,4.5,Fair,46,3,1,5
36,Female,8.2,Poor,17,1,1,5
45,Female,6.0,Poor,20,5,2,6
43,Female,8.3,Good,12,9,0,1
54,Female,4.4,Poor,20,9,3,1
43,Female,5.9,Good,7,4,0,9
40,Female,7.2,Good,45,3,0,3
26,Male,8.7,Poor,103,1,0,4
29,Male,5.9,Good,109,2,1,1
18,Female,7.8,Fair,6,8,4,9
18,Male,9.3,Good,22,1,1,8
51,Male,7.7,Fair,107,8,1,2
49,Male,5.4,Good,95,7,5,8
42,Female,4.1,Good,74,8,5,7
57,Female,9.2,Poor,85,6,0,11
18,Male,4.1,Good,21,9,1,6
33,Female,9.2,Good,106,3,0,1
56,Male,7.2,Good,88,4,5,7
22,Male,9.6,Good,21,6,4,10
39,Male,8.8,Good,91,8,3,7
46,Male,10.0,Fair,28,5,0,9
20,Female,6.1,Fair,12,3,4,1
29,Female,8.6,Good,81,6,3,2
43,Female,6.4,Fair,1,4,2,11
33,Male,6.9,Good,28,9,0,9
54,Female,7.8,Good,84,3,0,9
39,Male,9.2,Fair,78,4,2,6
46,Female,9.9,Fair,51,7,2,6
31,Male,8.6,Good,26,7,0,4
45,Male,6.5,Fair,49,4,2,4
22,Male,6.5,Good,94,6,1,5
47,Female,8.4,Fair,78,3,3,3
22,Female,5.4,Good,114,6,3,1
29,Female,4.7,Poor,22,2,3,1
33,Female,6.1,Good,87,8,1,7
43,Male,5.7,Fair,43,2,2,1
43,Female,5.8,Good,76,7,4,1
38,Female,5.4,Poor,21,9,2,3
56,Male,4.3,Good,42,1,0,10
53,Male,4.1,Good,36,8,5,4
50,Male,9.9,Fair,60,7,3,4
47,Female,6.6,Poor,96,6,2,2
54,Male,6.3,Poor,55,6,4,1
40,Male,8.1,Good,2,6,0,3
27,Male,5.3,Good,62,9,1,11
22,Female,9.7,Good,117,2,1,4
53,Male,8.7,Fair,18,1,4,3
51,Female,4.5,Fair,22,6,0,8
48,Female,6.5,Good,28,8,3,10
27,Male,9.3,Fair,29,3,2,1
36,Male,9.7,Good,38,1,0,2
49,Female,6.8,Poor,107,9,1,7
18,Male,7.7,Good,110,1,4,4
22,Male,5.0,Fair,24,3,4,8
21,Female,9.9,Fair,100,8,2,11
33,Female,5.4,Good,110,3,4,3
41,Male,9.7,Good,7,4,4,6
33,Female,7.9,Good,105,8,0,9
19,Male,7.6,Poor,57,1,3,1
45,Male,7.1,Poor,15,6,2,1
49,Male,5.4,Good,71,1,0,8
44,Female,5.1,Good,0,1,3,3
37,Male,5.3,Fair,107,8,0,5
41,Male,5.1,Poor,4,4,5,1
29,Male,8.7,Poor,2,1,0,5
52,Female,6.1,Good,64,7,4,11
50,Female,4.3,Poor,3,5,3,6
50,Female,9.8,Fair,103,5,2,8
54,Female,9.3,Fair,98,1,2,3
29,Female,9.6,Fair,95,6,3,3
20,Male,10.0,Poor,63,9,4,11
18,Female,5.0,Good,105,9,1,11
50,Female,6.4,Poor,97,8,0,10
57,Female,8.5,Good,106,5,4,9
27,Male,8.2,Fair,88,1,5,4
46,Female,4.9,Good,9,9,3,4
30,Female,8.9,Good,20,1,0,7
29,Male,5.3,Good,45,8,2,2
48,Female,5.3,Good,102,5,1,8
19,Male,7.2,Fair,90,3,5,6
52,Male,7.6,Fair,26,7,2,3
40,Male,7.5,Good,65,7,3,9
34,Male,4.5,Good,40,9,0,5
43,Male,9.3,Good,111,7,3,8
25,Female,5.6,Good,12,3,0,7
46,Male,4.8,Good,8,1,4,8
43,Male,9.3,Fair,115,8,1,7
27,Female,9.7,Poor,35,3,4,3
43,Male,9.2,Good,85,8,4,2
51,Female,8.9,Good,105,8,3,7
58,Female,7.9,Poor,89,5,1,3
24,Female,7.3,Good,57,1,0,3
21,Male,4.5,Fair,53,7,0,2
28,Male,6.5,Good,11,5,5,4
46,Male,6.2,Poor,80,8,2,8
53,Female,5.6,Fair,77,9,5,1
42,Male,8.3,Good,13,7,5,1
38,Male,7.0,Fair,33,7,0,5
53,Male,4.5,Good,52,1,3,11
27,Female,5.3,Good,19,4,4,5
54,Female,8.1,Good,74,2,4,11
26,Male,4.5,Fair,15,2,4,1
41,Male,9.1,Fair,114,2,1,6
52,Male,7.0,Poor,94,4,0,1
52,Male,6.9,Good,118,1,3,5
53,Female,7.6,Good,69,4,1,9
35,Female,8.9,Good,55,2,2,5
56,Female,6.1,Good,82,5,3,6
49,Female,8.1,Good,100,3,5,8
41,Male,7.4,Good,57,8,3,11
40,Male,5.6,Poor,3,4,3,1
49,Male,9.3,Good,110,1,4,2
